product_name,product_price 
BOMEDENT APEX LOCATOR, EGP4,400.00
Ceramic ENDO MOTOR, EGP3,500.00
CICADA CORDLESS ENDO MOTOR, EGP4,500.00
COXO C-Smart I Endomotors, EGP10,500.00
COXO C-Smart Mini AP, EGP11,000.00
COXO C-Smart MINI ECO, EGP6,000.00
COXO C-SMART-I PRO Endo Motors, EGP12,000.00
Fanta Apex Locator, EGP3,700.00
True Dent Endo Motor, EGP4,500.00
Woodpecker ( E-COM+ ) Dental Endo Motor with Reciprocating mode, EGP6,500.00
WOODPECKER APEX LOCATOR Woodpex III, EGP4,200.00
Light Cure I Led + OMNICHROMA, EGP2,500.00
Light Curing LED F + OMNICHROMA, EGP2,750.00
Light Curing O-Light + OMNICHROMA, EGP2,500.00
+DENTAL UNIT SIRONA C8, EGP190.00
3M APLICAP APPLIER AND ACTIVATOR PACK, EGP2,500.00
3M Light Cure Elipar Deepcure, EGP20,000.00
3M PENTAMIX LITE 230V, EGP18,000.00
ABU SAMRA BUILT-IN ULTRASONIC SCALAR – L2 LED, EGP2,800.00
ABU SAMRA BUILT-IN ULTRASONIC SCALAR L2, EGP2,400.00
ABU SAMRA DAM DENTAL UNIT, EGP40,000.00
ABU SAMRA DENTAL UNIT MAS 7, EGP60,000.00
ABU SAMRA DENTAL UNIT MAS-5, EGP33,000.00
ABU SAMRA DENTAL UNIT MICKEY, EGP43,000.00
ABU SAMRA K5 ULTRASONIC SCALAR, EGP3,200.00
ABU SAMRA NARDI-ITALY DENTAL COMPRESSOR, EGP11,500.00
ACCESSORIES FOR I ROOT APEX LOCATOR, EGP350.00
ACTEON SATELEC MINILED ACTIVE Light Cure, EGP7,000.00
ACTEON SATELEC MINILED ORTHO II, EGP18,000.00
ACTEON SATELEC MINILED STANDARD, EGP13,000.00
ACTEON SATELEC MINILED SUPERCHARGED, EGP15,000.00
ACTEON Sopix 2 sensor Size 1, EGP49,000.00
ACTEON Sopix sensor Size 1, EGP43,000.00
AIR PROPHY JET + powder, EGP350.00
AIRO OIL FREE COMPRESSOR 1.1 HP 32L, EGP3,850.00
AMALGAMETOR, EGP1,450.00
APLLE CAM, EGP4,500.00
Apple Handpiece Contra angle for implant, EGP3,500.00
Apple Handpiece high Speed Aluminum LED, EGP1,500.00
Apple Handpiece high speed High Torque, EGP650.00
Apple Handpiece high Speed LED, EGP1,050.00
